,0,1,2,3,4,5,6,7,8
0,F0001/MID1,F1018/MID7,no,F0001,F1018,-1,-1,0,unrelated
1,F0001/MID4,F1018/MID8,no,F0001,F1018,-1,-1,0,unrelated
2,F0001/MID2,F1018/MID7,no,F0001,F1018,-1,-1,0,unrelated
3,F0001/MID4,F1018/MID8,no,F0001,F1018,-1,-1,0,unrelated
4,F0001/MID2,F1018/MID6,no,F0001,F1018,-1,-1,0,unrelated
5,F0001/MID3,F1018/MID1,no,F0001,F1018,-1,-1,0,unrelated
6,F0001/MID3,F1018/MID4,no,F0001,F1018,-1,-1,0,unrelated
7,F0001/MID4,F1018/MID7,no,F0001,F1018,-1,-1,0,unrelated
8,F0001/MID3,F1018/MID4,no,F0001,F1018,-1,-1,0,unrelated
9,F0001/MID4,F1018/MID8,no,F0001,F1018,-1,-1,0,unrelated
10,F0002/MID1,F1018/MID4,no,F0002,F1018,-1,-1,0,unrelated
11,F0002/MID3,F1018/MID8,no,F0002,F1018,-1,-1,0,unrelated
12,F0002/MID2,F1018/MID4,no,F0002,F1018,-1,-1,0,unrelated
13,F0002/MID3,F1018/MID7,no,F0002,F1018,-1,-1,0,unrelated
14,F0004/MID1,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
15,F0004/MID5,F1018/MID8,no,F0004,F1018,-1,-1,0,unrelated
16,F0004/MID1,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
17,F0004/MID4,F1018/MID7,no,F0004,F1018,-1,-1,0,unrelated
18,F0004/MID1,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
19,F0004/MID2,F1018/MID8,no,F0004,F1018,-1,-1,0,unrelated
20,F0004/MID1,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
21,F0004/MID6,F1018/MID4,no,F0004,F1018,-1,-1,0,unrelated
22,F0004/MID2,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
23,F0004/MID5,F1018/MID7,no,F0004,F1018,-1,-1,0,unrelated
24,F0004/MID2,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
25,F0004/MID4,F1018/MID8,no,F0004,F1018,-1,-1,0,unrelated
26,F0004/MID2,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
27,F0004/MID5,F1018/MID4,no,F0004,F1018,-1,-1,0,unrelated
28,F0004/MID2,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
29,F0004/MID4,F1018/MID4,no,F0004,F1018,-1,-1,0,unrelated
30,F0004/MID2,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
31,F0004/MID4,F1018/MID7,no,F0004,F1018,-1,-1,0,unrelated
32,F0004/MID2,F1018/MID2,no,F0004,F1018,-1,-1,0,unrelated
33,F0004/MID5,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
34,F0004/MID3,F1018/MID2,no,F0004,F1018,-1,-1,0,unrelated
35,F0004/MID4,F1018/MID4,no,F0004,F1018,-1,-1,0,unrelated
36,F0004/MID3,F1018/MID1,no,F0004,F1018,-1,-1,0,unrelated
37,F0004/MID5,F1018/MID8,no,F0004,F1018,-1,-1,0,unrelated
38,F0004/MID3,F1018/MID1,no,F0004,F1018,-1,-1,0,unrelated
39,F0004/MID2,F1018/MID7,no,F0004,F1018,-1,-1,0,unrelated
40,F0004/MID4,F1018/MID1,no,F0004,F1018,-1,-1,0,unrelated
41,F0004/MID5,F1018/MID4,no,F0004,F1018,-1,-1,0,unrelated
42,F0004/MID4,F1018/MID1,no,F0004,F1018,-1,-1,0,unrelated
43,F0004/MID5,F1018/MID3,no,F0004,F1018,-1,-1,0,unrelated
44,F0004/MID7,F1017/MID4,no,F0004,F1017,-1,-1,0,unrelated
45,F0004/MID6,F1017/MID5,no,F0004,F1017,-1,-1,0,unrelated
46,F0005/MID1,F1017/MID4,no,F0005,F1017,-1,-1,0,unrelated
47,F0005/MID2,F1017/MID5,no,F0005,F1017,-1,-1,0,unrelated
48,F0005/MID3,F1017/MID3,no,F0005,F1017,-1,-1,0,unrelated
49,F0005/MID2,F1017/MID5,no,F0005,F1017,-1,-1,0,unrelated
50,F0009/MID1,F1017/MID3,no,F0009,F1017,-1,-1,0,unrelated
51,F0009/MID2,F1017/MID4,no,F0009,F1017,-1,-1,0,unrelated
52,F0009/MID1,F1017/MID3,no,F0009,F1017,-1,-1,0,unrelated
53,F0009/MID3,F1017/MID4,no,F0009,F1017,-1,-1,0,unrelated
54,F0009/MID1,F1017/MID3,no,F0009,F1017,-1,-1,0,unrelated
55,F0009/MID2,F1017/MID5,no,F0009,F1017,-1,-1,0,unrelated
56,F0009/MID1,F1017/MID3,no,F0009,F1017,-1,-1,0,unrelated
57,F0009/MID4,F1017/MID4,no,F0009,F1017,-1,-1,0,unrelated
58,F0009/MID1,F1017/MID3,no,F0009,F1017,-1,-1,0,unrelated
59,F0009/MID6,F1017/MID5,no,F0009,F1017,-1,-1,0,unrelated
60,F0009/MID1,F1017/MID2,no,F0009,F1017,-1,-1,0,unrelated
61,F0009/MID6,F1017/MID5,no,F0009,F1017,-1,-1,0,unrelated
62,F0009/MID1,F1017/MID2,no,F0009,F1017,-1,-1,0,unrelated
63,F0009/MID4,F1017/MID4,no,F0009,F1017,-1,-1,0,unrelated
64,F0009/MID1,F1017/MID2,no,F0009,F1017,-1,-1,0,unrelated
65,F0009/MID3,F1017/MID3,no,F0009,F1017,-1,-1,0,unrelated
66,F0009/MID2,F1017/MID1,no,F0009,F1017,-1,-1,0,unrelated
67,F0009/MID6,F1017/MID4,no,F0009,F1017,-1,-1,0,unrelated
68,F0009/MID2,F1017/MID1,no,F0009,F1017,-1,-1,0,unrelated
69,F0009/MID4,F1017/MID3,no,F0009,F1017,-1,-1,0,unrelated
70,F0009/MID2,F1017/MID1,no,F0009,F1017,-1,-1,0,unrelated
71,F0009/MID3,F1017/MID5,no,F0009,F1017,-1,-1,0,unrelated
72,F0009/MID2,F1016/MID6,no,F0009,F1016,-1,-1,0,unrelated
73,F0009/MID4,F1016/MID3,no,F0009,F1016,-1,-1,0,unrelated
74,F0009/MID2,F1016/MID6,no,F0009,F1016,-1,-1,0,unrelated
75,F0009/MID3,F1016/MID2,no,F0009,F1016,-1,-1,0,unrelated
76,F0009/MID2,F1016/MID6,no,F0009,F1016,-1,-1,0,unrelated
77,F0009/MID6,F1016/MID4,no,F0009,F1016,-1,-1,0,unrelated
78,F0009/MID3,F1016/MID6,no,F0009,F1016,-1,-1,0,unrelated
79,F0009/MID6,F1016/MID1,no,F0009,F1016,-1,-1,0,unrelated
